,M0_raw_spread_h3,M0_raw_spread_h6,M0_raw_spread_h12,M1_slope_h3,M1_slope_h6,M1_slope_h12,M2_slope_curv_h3,M2_slope_curv_h6,M2_slope_curv_h12,M3_full_ns_h3,M3_full_ns_h6,M3_full_ns_h12,M4_db1_b2_b3_h3,M4_db1_b2_b3_h6,M4_db1_b2_b3_h12
1979-11-01,0.7641346462233001,0.8568912148366774,0.7607782438970747,0.7630350240641013,0.8599519804408402,0.7711996523311104,0.7592131842341363,0.8341823643720307,0.6935082477643761,0.38062761445682153,0.16931351359679925,2.7457272792875673e-42,0.7672726128964403,0.814977283938005,0.660186101719624
1979-12-01,0.6907235397686068,0.8048709909014955,0.6613650789277111,0.6909877070577541,0.8092478115190724,0.6732083186830181,0.6892016423209748,0.7921434771491802,0.6239460622861411,0.2791010258548605,0.10098622292779147,1.3895823307424279e-45,0.6968331869018927,0.7829660465635617,0.5980430721282973
1980-01-01,0.6034790087509125,0.7026239775319771,0.5716968812058003,0.6109625787958114,0.7158504989510313,0.589553659604617,0.6204371068081169,0.7670001173389326,0.6833069555767916,0.08145899654854111,0.002282266306995382,5.38747863117434e-94,0.4538786707655969,0.9779838751606968,0.9000340907871744
1980-02-01,0.9554737848602396,0.9942896763270915,0.9472205287822669,0.9512726956173565,0.9938374675449954,0.9492078645132465,0.9428116497210913,0.9710032798272134,0.7150589873533211,0.2771060054040454,0.02205771257741401,2.236538178601616e-148,0.9207295076454446,0.9927183046586333,0.8095370193509409
1980-03-01,0.9661020075225675,0.996579680246021,0.9594553641637906,0.9657202508629581,0.9968624986970916,0.96449584025433,0.9640927212873973,0.9945180775841215,0.9306982537822464,0.47062819274421797,0.231447378694211,5.778117740747163e-95,0.953392409046824,0.9987191251799209,0.9559624706219152
1980-04-01,0.3138040107298248,0.30631286194582996,0.28548528684741126,0.31825308417439047,0.31236250240241314,0.29205208232740476,0.32475827664815893,0.3547346302035963,0.3478660592988343,0.006790172959895007,4.802227895877587e-07,8.204214681689072e-146,0.5456651035669192,0.019544529323059764,0.06198384870409947
1980-05-01,0.03661833412836706,0.010147641020573563,0.0305594502768341,0.037681515196132526,0.010083914709967869,0.029607266290065916,0.03986932575478887,0.016272880067120667,0.0502052270170205,1.5046902666059571e-05,3.6135999344245096e-16,4.251739538546789e-233,0.058222836654806806,0.002717954915719869,0.02046943994389566
1980-06-01,0.03925560575707982,0.011409703719945218,0.03283439645020686,0.03972259715216291,0.011038844044720152,0.03132708548507945,0.04095589509299728,0.014264154728939306,0.03832185401919046,3.6225656829831105e-05,8.152475263827335e-15,4.154619816196013e-208,0.05788737725985769,0.0025879032469713413,0.016059948575874044
1980-07-01,0.044155396936316295,0.012535701567086065,0.03296144766130532,0.04579986210190345,0.01278350008643487,0.03275143714553228,0.04905396820502386,0.021757440002634052,0.06568168005621464,0.006807019147913374,9.786640558231097e-08,2.7422865901252992e-08,0.021538979487478863,0.15011847226218433,0.13988496522359917
1980-08-01,0.217664768663909,0.1858384184533418,0.2067731067326274,0.20804767233840843,0.17469167366698474,0.19549193132669596,0.19417820452550943,0.07903691322791062,0.06427829225920813,0.04072848398827265,3.4910444538099854e-07,5.050923968866092e-10,0.17735439069000164,0.08621813074027557,0.07274528069755806
